Время: 04/05/2017 21:14:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,657189805832314| Всего: 0,657189805832314| Состояние: OK 
Время: 04/05/2017 21:14:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,300005437014627| Всего: 0,957195242846941| Состояние: OK 
Время: 04/05/2017 21:14:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0847854498237304| Всего: 1,04198069267067| Состояние: OK 
Время: 04/05/2017 21:14:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,242099425402516| Всего: 1,28408011807319| Состояние: OK 
Время: 04/05/2017 21:14:59 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,537572381802635| Всего: 1,82165249987583| Состояние: OK 
Время: 04/05/2017 21:15:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,236568735556942| Всего: 2,05822123543277| Состояние: OK 
Время: 04/05/2017 21:15:05 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,602203910985125| Всего: 2,66042514641789| Состояние: OK 
Время: 04/05/2017 21:15:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,921880883593988| Всего: 3,58230603001188| Состояние: OK 
Время: 04/05/2017 21:15:11 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,975105774577291| Всего: 4,55741180458917| Состояние: OK 
Время: 04/05/2017 21:15:14 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,531119060018621| Всего: 5,08853086460779| Состояние: OK 
Время: 04/05/2017 21:15:17 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,065427682392964| Всего: 5,15395854700075| Состояние: OK 
Время: 04/05/2017 21:15:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,170004792124967| Всего: 5,32396333912572| Состояние: OK 
