Время: 04/15/2017 20:55:41 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,89844740736226| Всего: 0,89844740736226| Состояние: OK 
Время: 04/15/2017 20:55:44 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,292583280844886| Всего: 1,19103068820715| Состояние: OK 
Время: 04/15/2017 20:55:47 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,413365082076455| Всего: 1,60439577028361| Состояние: OK 
Время: 04/15/2017 20:55:50 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,937338235758868| Всего: 2,54173400604248| Состояние: OK 
Время: 04/15/2017 20:55:56 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00567154136284792| Всего: 0,00567154136284792| Состояние: OK 
Время: 04/15/2017 20:55:59 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,000892339926628554| Всего: 0,00656388128947647| Состояние: NOLOAD 
Время: 04/15/2017 20:56:02 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00697100492518908| Всего: 0,0135348862146655| Состояние: NOLOAD 
Время: 04/15/2017 20:56:05 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00562734553386799| Всего: 0,0191622317485335| Состояние: NOLOAD 
Время: 04/15/2017 20:56:08 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00388673221873433| Всего: 0,0230489639672678| Состояние: NOLOAD 
Время: 04/15/2017 20:56:11 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00967646531745627| Всего: 0,0327254292847241| Состояние: NOLOAD 
Время: 04/15/2017 20:56:15 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00860046560810901| Всего: 0,0413258948928331| Состояние: NOLOAD 
Время: 04/15/2017 20:56:17 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00111873083334357| Всего: 0,0424446257261767| Состояние: NOLOAD 
Время: 04/15/2017 20:56:25 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 5TOP| Всего: 0| Состояние: STOP 
Время: 04/15/2017 20:56:28 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 5TOP| Всего: 0| Состояние: STOP 
Время: 04/15/2017 20:56:31 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 5TOP| Всего: 0| Состояние: STOP 
Время: 04/15/2017 20:57:19 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00584142731774665| Всего: 0,00584142731774665| Состояние: NOLOAD 
Время: 04/15/2017 20:57:22 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00185735154052142| Всего: 0,00769877885826807| Состояние: NOLOAD 
Время: 04/15/2017 20:57:25 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00542180315843867| Всего: 0,0131205820167067| Состояние: NOLOAD 
Время: 04/15/2017 20:57:28 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00732046636162347| Всего: 0,0204410483783302| Состояние: NOLOAD 
Время: 04/15/2017 20:57:31 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00196940372324055| Всего: 0,0224104521015708| Состояние: NOLOAD 
Время: 04/15/2017 20:57:34 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00708366400426424| Всего: 0,029494116105835| Состояние: NOLOAD 
Время: 04/15/2017 20:57:37 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00361827650741594| Всего: 0,0331123926132509| Состояние: NOLOAD 
Время: 04/15/2017 20:58:11 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,000402104226128247| Всего: 0,000402104226128247| Состояние: OK 
Время: 04/15/2017 20:58:14 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00619979333421206| Всего: 0,00660189756034031| Состояние: NOLOAD 
Время: 04/15/2017 20:58:17 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00886124004091194| Всего: 0,0154631376012522| Состояние: NOLOAD 
Время: 04/15/2017 20:58:20 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,000930841546939146| Всего: 0,0163939791481913| Состояние: NOLOAD 
Время: 04/15/2017 20:58:23 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00751595923095753| Всего: 0,0239099383791488| Состояние: NOLOAD 
Время: 04/15/2017 20:58:26 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00916687751150079| Всего: 0,0330768158906496| Состояние: NOLOAD 
Время: 04/15/2017 20:58:29 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00676040963118915| Всего: 0,0398372255218388| Состояние: NOLOAD 
Время: 04/15/2017 20:58:32 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00822653190615891| Всего: 0,0480637574279977| Состояние: NOLOAD 
Время: 04/15/2017 20:58:35 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00828711502639908| Всего: 0,0563508724543968| Состояние: NOLOAD 
Время: 04/15/2017 20:58:38 Подразделение:  ДСЗ-3| Устройство: Конус 2| Текущие показания: 0,00130339085185127| Всего: 0,0576542633062481| Состояние: NOLOAD 
