Время: 04/17/2017 15:45:33 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00711530626151492| Всего: 0,00711530626151492| Состояние: NOLOAD 
Время: 04/17/2017 15:45:36 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00656576844703675| Всего: 0,0136810747085517| Состояние: NOLOAD 
Время: 04/17/2017 15:45:39 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00502294204897384| Всего: 0,0187040167575255| Состояние: NOLOAD 
Время: 04/17/2017 15:45:42 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00371403470808362| Всего: 0,0224180514656091| Состояние: NOLOAD 
Время: 04/17/2017 15:45:45 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00488999674324412| Всего: 0,0273080482088532| Состояние: NOLOAD 
Время: 04/17/2017 15:45:48 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00609396110572571| Всего: 0,0334020093145789| Состояние: NOLOAD 
Время: 04/17/2017 15:45:51 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,000272587845228886| Всего: 0,0336745971598078| Состояние: NOLOAD 
Время: 04/17/2017 15:45:55 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00310060238144389| Всего: 0,0367751995412517| Состояние: NOLOAD 
Время: 04/17/2017 15:45:57 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00693688349655684| Всего: 0,0437120830378085| Состояние: NOLOAD 
Время: 04/17/2017 15:46:00 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00190879857722148| Всего: 0,04562088161503| Состояние: NOLOAD 
Время: 04/17/2017 15:46:04 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00504077202875203| Всего: 0,050661653643782| Состояние: NOLOAD 
Время: 04/17/2017 15:46:07 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00497467546489773| Всего: 0,0556363291086797| Состояние: NOLOAD 
Время: 04/17/2017 15:46:10 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,000581340156766279| Всего: 0,056217669265446| Состояние: NOLOAD 
Время: 04/17/2017 15:46:13 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,00740160923330188| Всего: 0,0636192784987479| Состояние: NOLOAD 
Время: 04/17/2017 15:46:16 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,000247742482576399| Всего: 0,0638670209813243| Состояние: NOLOAD 
Время: 04/17/2017 15:46:19 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 0,0032631378962021| Всего: 0,0671301588775264| Состояние: NOLOAD 
Время: 05/12/2017 14:09:02 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 5TOP| Всего: 9071,234| Состояние: STOP 
Время: 05/12/2017 14:11:22 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 5TOP| Всего: 9071,234| Состояние: STOP 
Время: 05/12/2017 14:13:26 Подразделение:  ДСЗ-3| Устройство: Конус 3| Текущие показания: 5TOP| Всего: 9071,234| Состояние: STOP 
